From_left	Log2Ratio	p_value	MaxRPKM	ID	Species	GeneName	Symbol
NM_000455	0.34	0.234	37878.8	6794	Homo sapiens	serine/threonine kinase 11(STK11)	STK11
NM_000459	6.63	0.135	99.38	7010	Homo sapiens	TEK receptor tyrosine kinase(TEK)	TEK
NM_000462	0.12	0.498	2062.08	7337	Homo sapiens	ubiquitin protein ligase E3A(UBE3A)	UBE3A
NM_000477	0.96	0.476	12.91	213	Homo sapiens	albumin(ALB)	ALB
NM_000478	6.02	0.351	8975.93	249	Homo sapiens	alkaline phosphatase, liver/bone/kidney(ALPL)	ALPL
NM_000483	0.8	0.347	1.74	344	Homo sapiens	apolipoprotein C2(APOC2)	APOC2
NM_000484	1.02	0.141	131122.1	351	Homo sapiens	amyloid beta precursor protein(APP)	APP
NM_000491	0.96	0.561	4.43	713	Homo sapiens	complement C1q B chain(C1QB)	C1QB
NM_000493	0.08	0.952	60.06	1300	Homo sapiens	collagen type X alpha 1 chain(COL10A1)	COL10A1
NM_000494	0.66	0.674	1584.31	1308	Homo sapiens	collagen type XVII alpha 1 chain(COL17A1)	COL17A1
NM_000496	0.09	0.873	113.18	1415	Homo sapiens	crystallin beta B2(CRYBB2)	CRYBB2
NM_000500	0.25	0.9	129.89	1589	Homo sapiens	cytochrome P450 family 21 subfamily A member 2(CYP21A2)	CYP21A2
NM_000503	5.41	0.16	306.43	2138	Homo sapiens	EYA transcriptional coactivator and phosphatase 1(EYA1)	EYA1
NM_000506	1.87	0.37	17.65	2147	Homo sapiens	coagulation factor II, thrombin(F2)	F2
NM_000513	1.4	0.347	2.64	2652	Homo sapiens	opsin 1 (cone pigments), medium-wave-sensitive(OPN1MW)	Opn1mw
NM_000514	3.02	0.306	330.69	2668	Homo sapiens	glial cell derived neurotrophic factor(GDNF)	GDNF
NM_000515	0.41	0.347	0.75	2688	Homo sapiens	growth hormone 1(GH1)	GH1
NM_000520	0.14	0.934	552.89	3073	Homo sapiens	hexosaminidase subunit alpha(HEXA)	HEXA
NM_000523	2.3	0.421	725.44	3239	Homo sapiens	homeobox D13(HOXD13)	HOXD13
NM_000526	8.33	0.347	74633.67	3861	Homo sapiens	keratin 14(KRT14)	KRT14
NM_000527	0.7	0.145	46402.04	3949	Homo sapiens	low density lipoprotein receptor(LDLR)	LDLR
NM_000530	1.27	0.382	45.08	4359	Homo sapiens	myelin protein zero(MPZ)	MPZ
NM_000531	3.15	0.209	8.85	5009	Homo sapiens	ornithine carbamoyltransferase(OTC)	OTC
NM_000533	0.03	0.973	66.1	5354	Homo sapiens	proteolipid protein 1(PLP1)	PLP1
NM_000536	3	0.347	8.01	5897	Homo sapiens	recombination activating 2(RAG2)	RAG2
NM_000538	0.81	0.294	6599.7	5994	Homo sapiens	regulatory factor X associated protein(RFXAP)	rfxap
NM_000546	3.13	0.0938	31505.08	7157	Homo sapiens	tumor protein p53(TP53)	TP53
NM_000557	10.24	0.333	2090.12	8200	Homo sapiens	growth differentiation factor 5(GDF5)	GDF5
NM_000559	4.59	0.058	24.13	3047	Homo sapiens	hemoglobin subunit gamma 1(HBG1)	HBG1
NM_000561	5.97	0.272	1923.51	2944	Homo sapiens	glutathione S-transferase mu 1(GSTM1)	GSTM1
NM_000562	1.09	0.347	2.12	731	Homo sapiens	complement C8 alpha chain(C8A)	C8A
NM_000567	0.85	0.347	1.8	1401	Homo sapiens	C-reactive protein(CRP)	CRP
NM_000569	0.27	0.142	0.83	2214	Homo sapiens	Fc fragment of IgG receptor IIIa(FCGR3A)	FCGR3A
NM_000574	0.54	0.487	36017.28	1604	Homo sapiens	CD55 molecule (Cromer blood group)(CD55)	CD55
NM_000575	5.93	0.315	2036.44	3552	Homo sapiens	interleukin 1 alpha(IL1A)	IL1A
NM_000576	8.77	0.264	6847.11	3553	Homo sapiens	interleukin 1 beta(IL1B)	IL1B
NM_000582	7.39	0.201	490.58	6696	Homo sapiens	secreted phosphoprotein 1(SPP1)	SPP1
NM_000585	3.23	0.154	181.62	3600	Homo sapiens	interleukin 15(IL15)	IL15
NM_000589	0.31	0.347	1.24	3565	Homo sapiens	interleukin 4(IL4)	IL4
NM_000591	3.1	0.218	840.8	929	Homo sapiens	CD14 molecule(CD14)	CD14
NM_000593	1.05	0.102	47194.65	6890	Homo sapiens	transporter 1, ATP binding cassette subfamily B member(TAP1)	TAP1
NM_000595	2.46	0.149	24.46	4049	Homo sapiens	lymphotoxin alpha(LTA)	LTA
NM_000596	10.98	0.294	2082.82	3484	Homo sapiens	insulin like growth factor binding protein 1(IGFBP1)	IGFBP1
NM_000598	4.52	0.205	10516	3486	Homo sapiens	insulin like growth factor binding protein 3(IGFBP3)	IGFBP3
NM_000601	2.29	0.291	57.34	3082	Homo sapiens	hepatocyte growth factor(HGF)	HGF
NM_000602	10.36	0.0843	937230.99	5054	Homo sapiens	serpin family E member 1(SERPINE1)	SERPINE1
NM_000615	7.07	0.324	22896.23	4684	Homo sapiens	neural cell adhesion molecule 1(NCAM1)	NCAM1
NM_000621	5.78	0.266	96.42	3356	Homo sapiens	5-hydroxytryptamine receptor 2A(HTR2A)	HTR2A
NM_000623	0.89	0.425	1368.17	624	Homo sapiens	bradykinin receptor B2(BDKRB2)	BDKRB2
NM_000625	4.71	0.334	101.12	4843	Homo sapiens	nitric oxide synthase 2(NOS2)	NOS2
NM_000626	0.4	0.347	1.32	974	Homo sapiens	CD79b molecule(CD79B)	CD79B
NM_000627	4.75	0.208	12337.02	4052	Homo sapiens	latent transforming growth factor beta binding protein 1(LTBP1)	LTBP1
NM_000632	1.08	0.617	26.63	3684	Homo sapiens	integrin subunit alpha M(ITGAM)	ITGAM
NM_000633	0.31	0.725	471.42	596	Homo sapiens	BCL2, apoptosis regulator(BCL2)	BCL2
NM_000635	0.36	0.53	2264.34	5990	Homo sapiens	regulatory factor X2(RFX2)	RFX2
NM_000636	4.98	0.139	84526.83	6648	Homo sapiens	superoxide dismutase 2, mitochondrial(SOD2)	SOD2
NM_000640	9.25	0.225	2827.24	3598	Homo sapiens	interleukin 13 receptor subunit alpha 2(IL13RA2)	IL13RA2
NM_000641	5.06	0.275	15560.7	3589	Homo sapiens	interleukin 11(IL11)	IL11
NM_000658	0.02	0.984	2.41	326	Homo sapiens	autoimmune regulator(AIRE)	aire
NM_000667	9.09	0.347	546.22	124	Homo sapiens	alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)	ADH1A
NM_000668	6.72	0.347	105.38	125	Homo sapiens	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	ADH1B
NM_000671	0.67	0.104	55872.73	128	Homo sapiens	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	ADH5
NM_000672	3.21	0.32	34.67	130	Homo sapiens	alcohol dehydrogenase 6 (class V)(ADH6)	ADH6
NM_000673	1.17	0.347	2.25	131	Homo sapiens	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide(ADH7)	ADH7
NM_000675	1.19	0.433	6030.39	135	Homo sapiens	adenosine A2a receptor(ADORA2A)	ADORA2A
NM_000676	4.19	0.0595	35261.53	136	Homo sapiens	adenosine A2b receptor(ADORA2B)	ADORA2B
NM_000678	5.77	0.104	873.79	146	Homo sapiens	adrenoceptor alpha 1D(ADRA1D)	ADRA1D
NM_000679	4.94	0.172	6633.92	147	Homo sapiens	adrenoceptor alpha 1B(ADRA1B)	ADRA1B
NM_000680	0.83	0.712	4.32	148	Homo sapiens	adrenoceptor alpha 1A(ADRA1A)	ADRA1A
NM_000685	1.49	0.354	1494.81	185	Homo sapiens	angiotensin II receptor type 1(AGTR1)	AGTR1
NM_000686	0	1	5.35	186	Homo sapiens	angiotensin II receptor type 2(AGTR2)	AGTR2
NM_000687	0.25	0.519	199314.63	191	Homo sapiens	adenosylhomocysteinase(AHCY)	AHCY
NM_000689	7.21	0.349	1484.75	216	Homo sapiens	aldehyde dehydrogenase 1 family member A1(ALDH1A1)	ALDH1A1
NM_000691	1.39	0.39	160.91	218	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)	aldh3a1
NM_000693	0.74	0.415	6421.04	220	Homo sapiens	aldehyde dehydrogenase 1 family member A3(ALDH1A3)	ALDH1A3
NM_000701	0.25	0.534	343717.97	476	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)	ATP1A1
NM_000705	0.6	0.347	1.51	496	Homo sapiens	ATPase H+/K+ transporting beta subunit(ATP4B)	ATP4B
NM_000706	0.74	0.523	14.06	552	Homo sapiens	arginine vasopressin receptor 1A(AVPR1A)	AVPR1A
NM_000710	7.26	0.0956	9999.7	623	Homo sapiens	bradykinin receptor B1(BDKRB1)	BDKRB1
NM_000714	1.43	0.0664	54515	706	Homo sapiens	translocator protein(TSPO)	TSPO
NM_000719	2.96	0.145	948.56	775	Homo sapiens	calcium voltage-gated channel subunit alpha1 C(CACNA1C)	CACNA1C
NM_000723	0.63	0.529	5625.58	782	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 1(CACNB1)	CACNB1
NM_000724	4.48	0.184	22.34	783	Homo sapiens	calcium voltage-gated channel auxiliary subunit beta 2(CACNB2)	CACNB2
NM_000729	2.74	0.367	120.23	885	Homo sapiens	cholecystokinin(CCK)	CCK
NM_000739	2.62	0.296	2.94	1129	Homo sapiens	cholinergic receptor muscarinic 2(CHRM2)	CHRM2
NM_000741	0.14	0.933	515.69	1132	Homo sapiens	cholinergic receptor muscarinic 4(CHRM4)	CHRM4
NM_000742	0.03	0.987	0.84	1135	Homo sapiens	cholinergic receptor nicotinic alpha 2 subunit(CHRNA2)	CHRNA2
NM_000746	1.79	0.514	6.06	1139	Homo sapiens	cholinergic receptor nicotinic alpha 7 subunit(CHRNA7)	CHRNA7
NM_000751	0.71	0.347	0.61	1144	Homo sapiens	cholinergic receptor nicotinic delta subunit(CHRND)	CHRND
NM_000754	2.33	0.222	14235.64	1312	Homo sapiens	catechol-O-methyltransferase(COMT)	COMT
NM_000756	1.03	0.534	12.77	1392	Homo sapiens	corticotropin releasing hormone(CRH)	CRH
NM_000758	9.3	0.322	1224.52	1437	Homo sapiens	colony stimulating factor 2(CSF2)	CSF2
NM_000759	11.33	0.342	3734.36	1440	Homo sapiens	colony stimulating factor 3(CSF3)	CSF3
NM_000772	0.7	0.515	4.19	1562	Homo sapiens	cytochrome P450 family 2 subfamily C member 18(CYP2C18)	CYP2C18
NM_000780	2.38	0.361	49.96	1581	Homo sapiens	cytochrome P450 family 7 subfamily A member 1(CYP7A1)	CYP7A1
NM_000781	1.53	0.368	33.11	1583	Homo sapiens	cytochrome P450 family 11 subfamily A member 1(CYP11A1)	CYP11A1
NM_000782	0.32	0.859	148.67	1591	Homo sapiens	cytochrome P450 family 24 subfamily A member 1(CYP24A1)	cyp24a1
NM_000786	1.03	0.276	111055.4	1595	Homo sapiens	cytochrome P450 family 51 subfamily A member 1(CYP51A1)	CYP51A1
NM_000787	1.58	0.487	107.8	1621	Homo sapiens	dopamine beta-hydroxylase(DBH)	DBH
NM_000791	0.47	0.613	2819.82	1719	Homo sapiens	dihydrofolate reductase(DHFR)	DHFR
NM_000793	5	0.342	3369.01	1734	Homo sapiens	deiodinase, iodothyronine type II(DIO2)	DIO2
NM_000794	3.88	0.371	1729.37	1812	Homo sapiens	dopamine receptor D1(DRD1)	DRD1
NM_000795	0.3	0.769	49.75	1813	Homo sapiens	dopamine receptor D2(DRD2)	DRD2
